ticker,insider_name,relationship,transaction_date,transaction_type,price,shares,value,shares_total,sec_form4,tags,ownership_pct
RCG,STAHL MURRAY,President/Co-Portfolio Manager,2025-07-22,Buy,2.65,356,943,"96,766",https://finviz.com/http://www.sec.gov/Archives/edgar/data/919567/000143774925023302/xslF345X05/rdgdoc.xml,"['🎖️ President', '🐣 MICRO CAP']",5.2e-05
UNOV,Saumat Giorgio R.,CEO,2025-07-22,Buy,0.2,50000,"10,250","122,930,127",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1538495/000164117225020553/xslF345X05/ownership.xml,"['👑 CEO', '❓ UNKNOWN SIZE', '❓ UNKNOWN SIZE']",
SHEN,"ECP Fiber Holdings GP, LLC",10% Owner,2025-07-22,Buy,15.4,17583,"270,782","2,957,560",https://finviz.com/http://www.sec.gov/Archives/edgar/data/354963/000164117225020703/xslF345X05/ownership.xml,"['🔟 10% Owner', '🟢 SMALL TRADE', '🌱 SMALL CAP']",0.000328
SHEN,"ECP ControlCo, LLC",10% Owner,2025-07-22,Buy,15.4,17583,"270,782","2,957,560",https://finviz.com/http://www.sec.gov/Archives/edgar/data/354963/000164117225020704/xslF345X05/ownership.xml,"['🔟 10% Owner', '🟢 SMALL TRADE', '🌱 SMALL CAP']",0.000328
IFS,INTERCORP PERU LTD,10% Owner,2025-07-22,Buy,19.66,17803,"350,000","2,946,766",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1615903/000095017025097971/xslF345X05/ownership.xml,"['🔟 10% Owner', '🌿 MID CAP']",8.5e-05
ASAN,Moskovitz Dustin A.,Director,2025-07-22,Buy,15.04,225000,"3,383,595","54,180,999",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1477720/000147772025000158/xslF345X05/wk-form4_1753307038.xml,"['📋 Director', '🟢 SMALL TRADE', '🌿 MID CAP']",0.000965
MERC,KELLOGG PETER R,10% Owner,2025-07-22,Buy,3.25,760000,"2,470,000","2,300,000",https://finviz.com/http://www.sec.gov/Archives/edgar/data/897485/000110465925070127/xslF345X05/tm2521601-1_4seq1.xml,"['🔟 10% Owner', '🔥 VERY LARGE TRADE', '🐣 MICRO CAP']",0.008472
TBN,Sheffield Bryan,10% Owner,2025-07-22,Buy,17.74,563697,"9,999,985","3,123,601",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1606914/000095017025098099/xslF345X05/ownership.xml,"['🔟 10% Owner', '🔥 VERY LARGE TRADE', '🌱 SMALL CAP']",0.030288
UPXI,Dugan Lawrence,Director,2025-07-22,Buy,7.5,4000,"30,000","116,389",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1775194/000147793225005238/xslF345X05/form4.xml,"['📋 Director', '🌱 SMALL CAP']",9.5e-05
STRW,Gubin Moishe,CEO,2025-07-21,Buy,10.48,1000,"10,480","823,448",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1550934/000164117225020487/xslF345X05/ownership.xml,"['👑 CEO', '🌱 SMALL CAP']",1.8e-05
PLBC,Foster Michael Kevin,Director,2025-07-21,Buy,42.56,749,"31,879","2,330",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1168455/000143774925023125/xslF345X05/rdgdoc.xml,"['📋 Director', '🟢 SMALL TRADE', '🐣 MICRO CAP']",0.000109
